target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
7,base1,return,S017,Recreational/Public (休闲与公共设施区),2.2916666666666665,3.115819849306653,0.5607885034355623,0.20833333333333334,0.10416666666666667,0.40051679586563305
7,base1,combined,S017,Recreational/Public (休闲与公共设施区),2.125,2.7613402542968153,0.606644747662213,0.25,0.01444043321299639,0.37103450099839996
7,base2,borrow,S017,Recreational/Public (休闲与公共设施区),1.5833333333333333,2.0,0.7722730842615754,0.25,0.09022556390977443,0.2900700025926886
7,base2,return,S017,Recreational/Public (休闲与公共设施区),1.2916666666666667,1.695582495781317,0.4737137604397666,0.25,0.006944444444444444,0.2157148407148407
7,base2,combined,S017,Recreational/Public (休闲与公共设施区),1.4375,1.8540496217739157,0.622993422350671,0.25,0.039711191335740074,0.25544023265142396
7,model,borrow,S017,Recreational/Public (休闲与公共设施区),1.7916666666666667,2.071633815776009,0.6322928861544422,0.20833333333333334,0.06766917293233082,0.32807370539023617
7,model,return,S017,Recreational/Public (休闲与公共设施区),1.875,2.4916527312876755,0.48566998266486755,0.25,0.0763888888888889,0.31996658312447784
7,model,combined,S017,Recreational/Public (休闲与公共设施区),1.8333333333333333,2.29128784747792,0.558981434409655,0.22916666666666666,0.007220216606498195,0.31829340334755496
7,base1,borrow,S018,Recreational/Public (休闲与公共设施区),2.125,2.7309949346956564,0.6134542294725361,0.20833333333333334,0.051094890510948905,0.3809096013475576
7,base1,return,S018,Recreational/Public (休闲与公共设施区),2.1666666666666665,2.6457513110645907,0.7382052910110185,0.25,0.1095890410958904,0.3608008429926238
7,base1,combined,S018,Recreational/Public (休闲与公共设施区),2.1458333333333335,2.688710967483613,0.6758297602417773,0.22916666666666666,0.0812720848056537,0.37083446588746943
7,base2,borrow,S018,Recreational/Public (休闲与公共设施区),1.75,2.179449471770337,0.661427309074368,0.125,0.058394160583941604,0.3166373017870627
7,base2,return,S018,Recreational/Public (休闲与公共设施区),1.7916666666666667,2.226731535981231,0.6199953761595638,0.2916666666666667,0.02054794520547945,0.3009866845483284
7,base2,combined,S018,Recreational/Public (休闲与公共设施区),1.7708333333333333,2.203217344400381,0.6407113426169658,0.20833333333333334,0.0176678445229682,0.3030526109148017
7,model,borrow,S018,Recreational/Public (休闲与公共设施区),1.875,2.3892118644719083,0.5717514877697943,0.25,0.0072992700729927005,0.32868183769858306
7,model,return,S018,Recreational/Public (休闲与公共设施区),2.0416666666666665,2.4748737341529163,0.719165787915788,0.20833333333333334,0.10273972602739725,0.3383875352922723
7,model,combined,S018,Recreational/Public (休闲与公共设施区),1.9583333333333333,2.4324199198877374,0.6454586378427912,0.22916666666666666,0.05653710247349823,0.3332142242691335
7,base1,borrow,S019,Recreational/Public (休闲与公共设施区),2.0416666666666665,2.6536138880151094,0.6189689763090175,0.2916666666666667,0.10273972602739725,0.3372372686395483
7,base1,return,S019,Recreational/Public (休闲与公共设施区),2.5,3.1885210782848317,0.6639188709840883,0.2916666666666667,0.16260162601626016,0.4382284382284382
7,base1,combined,S019,Recreational/Public (休闲与公共设施区),2.2708333333333335,2.93328598446634,0.6414439236465529,0.2916666666666667,0.01858736059479554,0.4034406968225111
7,base2,borrow,S019,Recreational/Public (休闲与公共设施区),1.2916666666666667,1.8596594670351165,0.4146593608390284,0.375,0.00684931506849315,0.2144544166273028
7,base2,return,S019,Recreational/Public (休闲与公共设施区),1.5833333333333333,2.101586702153082,0.6068144013796187,0.375,0.16260162601626016,0.27005514810392856
7,base2,combined,S019,Recreational/Public (休闲与公共设施区),1.4375,1.984313483298443,0.5107368811093236,0.375,0.07063197026022305,0.2550340768277571
7,model,borrow,S019,Recreational/Public (休闲与公共设施区),1.75,2.327373340628157,0.5668911335578003,0.2916666666666667,0.0821917808219178,0.29503169086076464
7,model,return,S019,Recreational/Public (休闲与公共设施区),2.125,2.776388541492947,0.6148335750637541,0.3333333333333333,0.17073170731707318,0.3871951219512195
